GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC20,HC02_EST_VC22,HC02_EST_VC23,HC02_EST_VC24,HC02_EST_VC25,HC02_EST_VC26,HC02_EST_VC27,HC02_EST_VC28
Id,Id2,Geography,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races
0400000US01,01,Alabama,23606,26960,16240,23404,25998,36254,10944,13123
0400000US02,02,Alaska,33062,40040,24448,17771,23032,17759,26827,17925
0400000US04,04,Arizona,25715,28025,19557,12495,31176,13436,14425,13840
0400000US05,05,Arkansas,22883,24750,15202,22221,34785,11345,13742,13272
0400000US06,06,California,30441,34356,23333,20091,34524,23740,15615,19537
0400000US08,08,Colorado,32357,34428,22141,18579,29612,27334,16823,18359
0400000US09,09,Connecticut,39373,43973,22865,20556,40362,N,16836,18312
0400000US10,10,Delaware,30488,34001,22961,27067,32971,N,15601,9364
0400000US11,11,District of Columbia,45877,72754,26602,37391,48105,N,18308,35323
0400000US12,12,Florida,26582,29433,16410,20292,27859,22292,16341,14847
0400000US13,13,Georgia,25615,30271,18283,17598,28861,21282,12921,14172
0400000US15,15,Hawaii,29736,39889,30177,25595,31857,18102,26938,20519
0400000US16,16,Idaho,23938,24838,17538,15814,21049,14434,11184,10570
0400000US17,17,Illinois,30417,34018,19223,22364,35004,45925,15823,14486
0400000US18,18,Indiana,25140,26692,16701,17007,28038,15497,14901,10072
0400000US19,19,Iowa,28361,29397,14579,15990,27205,17010,18370,10834
0400000US20,20,Kansas,27870,29542,17935,18148,28490,10053,16522,13179
0400000US21,21,Kentucky,23684,24720,16773,25274,27141,18119,12396,10103
0400000US22,22,Louisiana,24800,29804,15487,19716,31320,15578,18739,15728
0400000US23,23,Maine,27978,28571,12388,16396,26355,N,27559,14505
0400000US24,24,Maryland,36338,42333,28154,29238,38394,33033,17170,20801
0400000US25,25,Massachusetts,37288,40804,21725,19483,36117,34216,15264,16198
0400000US26,26,Michigan,26613,28880,16816,17428,31711,36524,14590,12089
0400000US27,27,Minnesota,32638,35112,16057,18388,27974,33174,14979,13514
0400000US28,28,Mississippi,21036,25920,13877,16696,27300,17512,14086,10253
0400000US29,29,Missouri,26126,27760,17779,19045,32867,34839,13574,13777
0400000US30,30,Montana,25989,27475,12964,12632,19553,8309,14826,14182
0400000US31,31,Nebraska,27446,28912,17714,11389,21801,24960,14906,11843
0400000US32,32,Nevada,25773,28815,19004,20130,25136,19271,15088,18394
0400000US33,33,New Hampshire,34691,35411,21431,24288,31517,N,19681,18731
0400000US34,34,New Jersey,36593,40970,23625,20502,42464,16054,17747,18968
0400000US35,35,New Mexico,23683,26613,23646,12897,29409,17921,15020,14893
0400000US36,36,New York,33095,39152,21860,20068,31803,23587,15870,18270
0400000US37,37,North Carolina,25774,29323,18097,16721,29674,20662,11654,12046
0400000US38,38,North Dakota,33071,35000,17779,15306,36943,N,21820,14802
0400000US39,39,Ohio,26937,28795,17195,18620,35164,52650,15655,12009
0400000US40,40,Oklahoma,25229,28138,17284,18001,25135,12568,14990,15778
0400000US41,41,Oregon,27646,29239,18247,16355,30422,16225,13244,14217
0400000US42,42,Pennsylvania,29220,31406,18183,17512,32694,18290,13805,13956
0400000US44,44,Rhode Island,30830,33901,18012,16753,23324,N,13943,15577
0400000US45,45,South Carolina,24596,28832,15897,18783,24543,17105,13074,11010
0400000US46,46,South Dakota,26959,29664,15060,9415,18335,7996,12555,13239
0400000US47,47,Tennessee,24922,27126,17083,19620,29318,16833,11181,13919
0400000US48,48,Texas,27125,28946,20592,21849,34453,21567,16108,16380
0400000US49,49,Utah,24877,26124,18530,16628,26048,16629,13644,11736
0400000US50,50,Vermont,29178,29945,16771,16919,17597,N,11844,15678
0400000US51,51,Virginia,34052,38078,22932,25500,36408,40960,19537,20121
0400000US53,53,Washington,31841,34076,23738,17334,33565,20492,16613,17452
0400000US54,54,West Virginia,22714,23215,17084,15090,24205,N,6376,9681
0400000US55,55,Wisconsin,28213,30174,14630,17432,23666,23364,12757,12096
0400000US56,56,Wyoming,29698,30514,44970,13390,27269,N,19608,16733
0400000US72,72,Puerto Rico,11241,11747,11185,12278,9357,N,8821,10788
